Rating,Company Name,Job Title,Salary,Salaries Reported,Location,Employment Status,Job Roles
3.3,1985,Web Developer,312000,1,Bangalore,Full Time,Web
4.1,660000,Python Backend Developer,700000,1,Bangalore,Full Time,Backend
4,660000,Python Backend Developer,700000,1,Bangalore,Full Time,Backend
4,-,Mobile App Developer,900000,1,Bangalore,Full Time,Mobile
4.1,[24]7.ai,Backend Developer,800000,1,Bangalore,Full Time,Backend
4.1,[24]7.ai,Database Administrator (Database Administrator),600000,2,Bangalore,Full Time,Database
4.1,[24]7.ai,Front End Developer,252000,1,Bangalore,Full Time,Frontend
4.1,[24]7.ai,Senior Software Development Engineer In Test,100000,6,Bangalore,Full Time,SDE
4.1,[24]7.ai,Software Development Engineer In Test,200000,2,Bangalore,Full Time,SDE
4.1,[24]7.ai,Software Development Engineer I,800000,2,Bangalore,Full Time,SDE
4.1,[24]7.ai,Software Development Engineer,900000,2,Bangalore,Full Time,SDE
4.1,[24]7.ai,Web Developer,300000,5,Bangalore,Full Time,Web
4,11Signals Technologies,Front-End Developer - Intern,96000,1,Bangalore,Intern,Frontend
4.8,20K Group,Test Engineer,264000,1,Bangalore,Full Time,Testing
4.2,21North Europ Assistance,Android Developer,400000,1,Bangalore,Full Time,Android
3.7,22feet,Senior Android Developer,900000,2,Bangalore,Full Time,Android
3.7,22feet,Sr. Front End Developer,700000,1,Bangalore,Full Time,Frontend
3.7,22feet,Senior IOS Developer,800000,1,Bangalore,Full Time,IOS
3.7,22feet,Web Developer,1140000,2,Bangalore,Full Time,Web
4.5,25K DIGITAL,Web Developer,348000,1,Bangalore,Full Time,Web
3.8,2COMS,Database Administrator,1000000,1,Bangalore,Full Time,Database
4.5,2nd Year,Front End Developer,348000,1,Bangalore,Full Time,Frontend
4.3,314e,Python Developer,468000,1,Bangalore,Full Time,Python
4.3,314e,Software Development Engineer,180000,1,Bangalore,Full Time,SDE
4.3,360 Nautica,Software Engineer (Ios Developer),324000,1,Bangalore,Full Time,IOS
3.8,2018,Core Java Developer,708000,1,Chennai,Full Time,Java
4.7,1 Crore Projects,Java Developer,144000,2,Chennai,Full Time,Java
4.3,10Decoders Consultancy Services,Java Developer,120000,1,Chennai,Full Time,Java
4.3,10Decoders Consultancy Services,Python Developer,132000,1,Chennai,Full Time,Python
4.3,10Decoders Consultancy Services,Python Junior Developer,180000,1,Chennai,Full Time,Python
4,1st Risk Solutions,Senior Front End Developer,456000,1,Chennai,Full Time,Frontend
3.8,2COMS,Front End Developer,700000,1,Chennai,Full Time,Frontend
3.8,2COMS,Java Developer,1000000,1,Chennai,Full Time,Java
5,360degreeinfo,Front End Web Developer,240000,1,Chennai,Full Time,Frontend
4.3,3Edge,Software Engineer - Java Developer,372000,1,Chennai,Full Time,Java
3.5,3i Infotech,Senior Java Developer,600000,1,Chennai,Full Time,Java
4.2,"50,000feet",Java Developer,840000,1,Chennai,Full Time,Java
4.3,7Eleven Arthasastra Technology,Android Developer,228000,2,Chennai,Full Time,Android
4.3,7Eleven Arthasastra Technology,Java Developer,144000,2,Chennai,Full Time,Java
4.3,7Eleven Arthasastra Technology,Java,216000,1,Chennai,Full Time,Java
3.8,7HCL Technologies,Java Tech Lead,600000,1,Chennai,Full Time,Java
4.2,9Logic Technologies Inc,Android Developer,996000,1,Chennai,Full Time,Android
3.7,Aashi,Software Development Engineer In Test (SDET),348000,1,Chennai,Full Time,SDE
4.8,AB2 Consulting,Senior Java Developer,696000,1,Chennai,Full Time,Java
3.9,Abbott,Software Development Engineer (SDE),576000,1,Chennai,Full Time,SDE
3.9,ABC,Python Developer - Intern,300000,1,Chennai,Intern,Python
3.9,ABC,Software Development Engineer - Intern,144000,1,Chennai,Intern,SDE
3.9,ABC,Software Development Engineer In Test (SDET),1000000,3,Chennai,Full Time,SDE
3.8,Abc (India),Software Development Engineer In Test (SDET),1400000,1,Chennai,Full Time,SDE
3.5,ABC Techno Labs,Front End Developer,468000,1,Chennai,Full Time,Frontend
